Hour;Grid_Price
1;24.95
2;24.35
3;23.98
4;23.72
5;23.73
6;24.06
7;24.44
8;24.93
9;24.9
10;25.07
11;25.63
12;25.92
13;26.13
14;26.57
15;27.3
16;28.61
17;30.25
18;30.19
19;28.82
20;28.25
21;27.32
22;26.98
23;26.44
24;25.64
25;25.59
26;24.91
27;24.74
28;24.66
29;24.72
30;24.92
31;25.62
32;26.19
33;28.02
34;27.65
35;28.83
36;29.76
37;28.62
38;28.72
39;28.89
40;39.74
41;58.88
42;60.51
43;59.84
44;29.94
45;27.38
46;26.96
47;26.85
48;25.94
49;25.27
50;24.59
51;23.86
52;23.57
53;23.49
54;23.85
55;24.05
56;24.8
57;24.97
58;25.65
59;26
60;26.07
61;25.87
62;25.83
63;26.02
64;26.5
65;28.05
66;28.53
67;28.17
68;27.92
69;27.56
70;27.04
71;26.18
72;24.92
73;24.66
74;24.05
75;23.88
76;24.03
77;24.58
78;25.84
79;28.21
80;30.85
81;49.2
82;50.02
83;55.4
84;56.53
85;52.07
86;56.53
87;57.99
88;58.03
89;60.5
90;65.22
91;60.05
92;53.73
93;37.68
94;34.82
95;30.95
96;27.35
97;27.81
98;27.45
99;27.08
100;27.14
101;27.79
102;29.81
103;35.78
104;53.64
105;60
106;60.12
107;61.18
108;62.46
109;61.48
110;62.29
111;62.04
112;62.51
113;64.26
114;65.6
115;60.13
116;54.66
117;40.78
118;39.6
119;32.06
120;29.21
121;29.83
122;28.72
123;28.11
124;27.98
125;28.16
126;29
127;30.72
128;35.54
129;39.18
130;41.88
131;46.07
132;45.27
133;46.21
134;47.35
135;51.31
136;54.9
137;58.4
138;59.93
139;55.67
140;50.25
141;39.84
142;39.93
143;38.7
144;32.5
145;43.08
146;40.9
147;39.19
148;39.78
149;41.28
150;45.54
151;55.97
152;67.8
153;84.43
154;83.86
155;82.44
156;85.99
157;84.71
158;82.29
159;78.62
160;81.57
161;89.68
162;99.91
163;84.62
164;77.79
165;65.2
166;59.33
167;58.26
168;50.99
169;49.31
170;47.38
171;45.78
172;44.51
173;45.69
174;50.33
175;59.71
176;79.56
177;103.54
178;107.8
179;107.32
180;104.26
181;99.91
182;95.27
183;92.72
184;95.42
185;95
186;110
187;99.95
188;80.12
189;61.48
190;59.43
191;56.22
192;50.48
193;47.58
194;47.04
195;46.48
196;47.67
197;48.04
198;47.77
199;48.26
200;52.16
201;58.11
202;64.68
203;65.61
204;65.89
205;64.97
206;60.55
207;58.14
208;60
209;62.78
210;69.92
211;69.69
212;65.77
213;49.93
214;47.95
215;43.47
216;36.64
217;38.84
218;35.97
219;34.35
220;33.87
221;33.84
222;34.21
223;34.03
224;37.61
225;39.09
226;40.76
227;44.16
228;45.34
229;44.76
230;44.34
231;45.45
232;46.67
233;50.72
234;54.95
235;53.34
236;49.39
237;46.43
238;44.49
239;40.07
240;35.88
241;40.6
242;39.59
243;37.78
244;35.43
245;37.29
246;41.41
247;42.78
248;50.34
249;57.25
250;49.62
251;47.57
252;44.64
253;43.33
254;42.61
255;42.05
256;42.31
257;43.28
258;44.98
259;42.93
260;39.71
261;37.11
262;34.24
263;33.21
264;27.39
265;19.43
266;15.82
267;19
268;24.14
269;27
270;35.03
271;40.14
272;54.51
273;60.64
274;54.96
275;56.5
276;55.34
277;50.1
278;48.05
279;48.04
280;52.01
281;61.06
282;64.12
283;60.4
284;50.45
285;41.79
286;40.71
287;37.75
288;34.62
289;33.03
290;32.43
291;31.58
292;30.84
293;31.68
294;36.81
295;41.87
296;46.21
297;56.14
298;47.71
299;46.23
300;43.82
301;41.22
302;40.04
303;39.47
304;41.17
305;45.91
306;55.49
307;54.51
308;48.1
309;47.14
310;40.88
311;40.02
312;38.03
313;37.3
314;36.91
315;36.98
316;39.44
317;42.16
318;45.34
319;54.98
320;81.34
321;91
322;89.27
323;89.63
324;91.05
325;88.91
326;89.24
327;86.04
328;91.21
329;99.94
330;103.14
331;92.38
332;87.7
333;74.58
334;62.74
335;59.82
336;55.6
337;48.98
338;47.49
339;46.22
340;45.3
341;46.46
342;49.87
343;62.97
344;79.86
345;96.64
346;100.16
347;99.94
348;89.11
349;81.2
350;78.52
351;79.04
352;78.87
353;84.02
354;99.5
355;98.02
356;95.01
357;77.2
358;67.18
359;62.62
360;53.7
361;53.09
362;51.65
363;49.88
364;48.45
365;48.09
366;47.35
367;48
368;51.43
369;58.97
370;63.96
371;61.79
372;62.13
373;54.24
374;49.09
375;49.48
376;50.65
377;59.12
378;65.01
379;66.4
380;63.76
381;57.47
382;52.98
383;51.92
384;48.17
385;46.49
386;44.82
387;44.99
388;44.98
389;44.38
390;44.33
391;45.34
392;46.5
393;47.4
394;51.13
395;54.75
396;58.08
397;54.58
398;52.82
399;49.95
400;53.48
401;60.6
402;67.05
403;72
404;67.78
405;62.45
406;55.56
407;52.13
408;46.9
409;43.85
410;44.37
411;44.13
412;44.47
413;44.83
414;46.42
415;53.72
416;74.53
417;78.92
418;75.65
419;72.03
420;66.39
421;60.06
422;57.7
423;59.41
424;57.39
425;54.54
426;59.94
427;55.08
428;51.42
429;46.97
430;45.63
431;42.95
432;37.83
433;36.75
434;35.94
435;34.74
436;35.96
437;36.7
438;38.14
439;41.59
440;46.68
441;56.5
442;54.5
443;52.73
444;54.5
445;52.21
446;52.11
447;52.37
448;51.34
449;51.89
450;56.04
451;52.75
452;45.39
453;41.41
454;39.75
455;36.66
456;31.23
457;30.33
458;28.4
459;27.27
460;26.77
461;28.85
462;31.91
463;35.7
464;39.02
